crop,sow_type,sow_date,sow_med,sow_cell,sow_no_cellrowhill,sow_no_seed_per,sow_no_germ_per,sow_to_germ25_days,sow_no_thin_per,sow_heatmat,sow_heatmat_temp,sow_light_hrs,sow_light_type,sow_fert_date_1,sow_fert_type_npk_1,sow_fert_type_name_1,sow_fert_dose_1,sow_fert_date_2,sow_fert_type_npk_2,sow_fert_type_name_2,sow_fert_dose_2,sow_fert_date_3,sow_fert_type_npk_3,sow_fert_type_name_3,sow_fert_dose_3,sow_fert_date_4,sow_fert_type_npk_4,sow_fert_type_name_4,sow_fert_dose_4,transp_harden_date_srt,transp_harden_date_end,transp_date_1,transp_med_1,transp_no_srt_1,transp_no_end_1,transp_date_2,transp_med_2,transp_no_srt_2,transp_no_end_2,fert_type_npk_1,fert_type_name_1,fert_date_1,fert_amnt_per_1,fert_unit_1,fert_type_npk_2,fert_type_name_2,fert_date_2,fert_amnt_per_2,fert_unit_2,fert_type_npk_3,fert_type_name_3,fert_date_3,fert_amnt_per_3,fert_unit_3,path_type_1,path_date_1,path_ipm_type_1_1,path_ipm_date_1_1,path_ipm_type_1_2,path_ipm_date_1_2,path_ipm_type_1_3,path_ipm_date_1_3,path_type_2,path_date_2,path_ipm_type_2_1,path_ipm_date_2_1,path_ipm_type_2_2,path_ipm_date_2_2,path_ipm_type_2_3,path_ipm_date_2_3,path_type_3,path_date_3,path_ipm_type_3_1,path_ipm_date_3_1,path_ipm_type_3_2,path_ipm_date_3_2,path_ipm_type_3_3,path_ipm_date_3_3,harvest_date_1,harvest_amnt_1,harvest_unit_1,harvest_date_2,harvest_amnt_2,harvest_unit_2,harvest_date_3,harvest_amnt_3,harvest_unit_3,harvest_date_4,harvest_amnt_4,harvest_unit_4,harvest_date_5,harvest_amnt_5,harvest_unit_5,harvest_date_6,harvest_amnt_6,harvest_unit_6,harvest_date_7,harvest_amnt_7,harvest_unit_7,harvest_date_8,harvest_amnt_8,harvest_unit_8,harvest_date_9,harvest_amnt_9,harvest_unit_9,harvest_date_10,harvest_amnt_10,harvest_unit_10,harvest_date_11,harvest_amnt_11,harvest_unit_11,harvest_date_12,harvest_amnt_12,harvest_unit_12,harvest_date_13,harvest_amnt_13,harvest_unit_13,harvest_date_14,harvest_amnt_14,harvest_unit_14,harvest_date_15,harvest_amnt_15,harvest_unit_15,notes
pepper- sweet banana,external transplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-10,raised bed- ground,6,6,,,,,3-4-4,Espoma- Organic Garden-tone,2023-07-06,0.25,cup,3-4-6,Espoma- Organic Tomato-tone,2023-07-27,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-29,0.25,pound,2023-08-01,0.75,pound,2023-08-05,18,ounce,2023-08-12,26,ounce,2023-08-19,14,ounce,2023-08-26,31,ounce,2023-08-29,34,ounce,,,,,,,,,,,,,,,,,,,,,,,,,
pepper- habanero,external transplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-10,raised bed- ground,1,1,,,,,3-4-4,Espoma- Organic Garden-tone,2023-07-06,0.25,cup,3-4-6,Espoma- Organic Tomato-tone,2023-07-27,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-12,5,ounce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pepper- ghost ,external transplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-10,raised bed- ground,1,1,,,,,3-4-4,Espoma- Organic Garden-tone,2023-07-06,0.25,cup,3-4-6,Espoma- Organic Tomato-tone,2023-07-27,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-12,3,ounce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dill- hera,outdoor seed,2023-04-22,raised bed- frame,,1,25,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrugula- garden tangy,outdoor seed,2023-04-22,raised bed- frame,,1,25,20,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dill- hera,outdoor seed,2023-05-20,raised bed- frame,,1,40,10,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrugula- garden tangy,outdoor seed,2023-05-20,raised bed- frame,,1,40,35,9,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cilantro,outdoor seed,2023-05-20,raised bed- frame,,1,30,27,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broadcast corner quadrant of raised bed
carrot- touchon,outdoor seed,2023-05-20,raised bed- ground,,3,20,20,28,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-12,58,ounces,2023-08-16,6,ounces,2023-08-19,11.25,pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 3 10 foot rows
sweet corn- country gentleman,outdoor seed,2023-05-31,raised bed- ground,,2,50,45,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-4-4,Espoma- Organic Garden-tone,2023-07-06,0.25,cup,6-3-3,Urban Farmer: Organic Sweet Corn Fertilizer,2023-08-06,0.75,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-26,8,unit,2023-08-29,12,unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
sweet corn- ornamental- glas gm,outdoor seed,2023-05-31,raised bed- ground,,2,50,45,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-4-4,Espoma- Organic Garden-tone,2023-07-06,0.25,cup,6-3-3,Urban Farmer: Organic Sweet Corn Fertilizer,2023-08-06,0.75,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
sunflower- mammoth,outdoor seed,2023-05-31,raised bed- ground,,1,75,50,7,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 1 12.5 foot row marked for 25 plants each (12 x 13 alternate at 1 foot)- three seeds per location (75 seeds total)
carrot- touchon,outdoor seed,2023-06-01,raised bed- ground,,3,35,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-26,6.25,pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 3 12.5 + 2.5  foot rows
bean- fin de bagnol,outdoor seed,2023-06-01,raised bed- ground,,1,50,18,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-4-4,Espoma- Organic Garden-tone,2023-07-14,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-26,1.5,pound,2023-07-29,6,ounce,2023-08-01,1.25,pound,2023-08-01,0.5,pound,2023-08-05,2,pound,2023-08-12,11,ounce,2023-08-16,1,pound,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
pumpkin- ct field,outdoor seed,2023-06-01,raised bed- ground,,4,6,5,10,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-12-0,Espoma- Organic Bone Meal,2023-07-14,0.25,cup,0-0-17,MaxiCrop Soluble Seaweed,2023-08-06,3,gallon,,,,,,powdery mildew,2023-08-16,baking soda spray,2023-08-17,baking soda spray,2023-08-19,,,,,,,,,,,,,,,,,,,2023-08-12,7.5,pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"planted 4 hills of 6 seeds each within one 12.5 foot bed area;
baking soda spray (2 tbls first spray; 3 tbls second spray) seemingly did not have much affect on powdery mildew"
sweet corn- country gentleman,outdoor seed,2023-06-10,raised bed- ground,,2,50,45,8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-4-4,Espoma- Organic Garden-tone,2023-07-14,0.25,cup,,Urban Farmer: Organic Sweet Corn Fertilizer,2023-08-19,0.75,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
sweet corn- ornamental- glas gm,outdoor seed,2023-06-10,raised bed- ground,,2,50,45,8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-4-4,Espoma- Organic Garden-tone,2023-07-14,0.25,cup,,Urban Farmer: Organic Sweet Corn Fertilizer,2023-08-19,0.75,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
sunflower- mammoth,outdoor seed,2023-06-15,raised bed- ground,,1,75,45,10,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 1 12.5 foot row marked for 25 plants each (12 x 13 alternate at 1 foot)- three seeds per location (75 seeds total)
bean- fin de bagnol,outdoor seed,2023-06-10,raised bed- ground,,1,50,9,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-4-4,Espoma- Organic Garden-tone,2023-07-24,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-05,2,pound,2023-08-08,0.5,ounce,2023-08-10,0.5,pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planted 2 12.5 foot rows marked for 25 plants each (12 x 13 alternate at 1 foot)- two seeds per location (100 seeds total)
pumpkin- ct field,outdoor seed,2023-06-10,raised bed- ground,,4,6,3,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-12-0,Espoma- Organic Bone Meal,2023-07-24,0.25,cup,0-0-17,MaxiCrop Soluble Seaweed,2023-08-19,3,gallon,,,,,,powdery mildew,2023-08-16,baking soda spray,2023-08-17,baking soda spray,2023-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"planted 4 hills of 6 seeds each within one 12.5 foot bed area;
baking soda spray (2 tbls first spray; 3 tbls second spray) seemingly did not have much affect on powdery mildew"
lettuce- gourmet blend,indoor seed,2023-08-13,soilless,32,24,8,6,3,,no,,16,45w led,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kale- lacinato,indoor seed,2023-08-13,soilless,32,8,5,5,3,,no,,16,45w led,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
